Estado,Municipio,División,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,ESCUINTLA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,FRANCISCO LEON,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,FRONTERA COMALAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,FRONTERA HIDALGO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,HUEHUETAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,HUITIUPAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,HUIXTAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,HUIXTLA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,IXHUATAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,IXTACOMITAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,IXTAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,IXTAPANGAJOYA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,JIQUIPILAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,JITOTOL,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,JUAREZ,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LA CONCORDIA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LA GRANDEZA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LA INDEPENDENCIA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LA LIBERTAD,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LA TRINITARIA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LARRAINZAR,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LAS MARGARITAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,LAS ROSAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MAPASTEPEC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MARAVILLA TENEJAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MARQUES DE COMILLAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MAZAPA DE MADERO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MAZATAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,METAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MITONTIC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MONTECRISTO DE GUERRERO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,MOTOZINTLA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,NICOLAS RUIZ,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OCOSINGO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OCOTEPEC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OSTUACAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OSUMACINTA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,OXCHUC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PALENQUE,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PANTELHO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PANTEPEC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PICHUCALCO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PIJIJIAPAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,PUEBLO NUEVO SOLISTAHUACAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,RAYON,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,REFORMA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SABANILLA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SALTO DE AGUA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SAN ANDRES DURAZNAL,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SAN CRISTOBAL DE LAS CASAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SAN FERNANDO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SAN JUAN CANCUC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SAN LUCAS,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SANTIAGO EL PINAR,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SILTEPEC,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SIMOJOVEL,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SITALA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SOCOLTENANGO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SOLOSUCHIAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SOYALO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SUCHIAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SUCHIATE,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,SUNUAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TAPACHULA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TAPALAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TAPILULA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TECPATAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TENEJAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TEOPISCA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TILA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TONALA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TOTOLAPA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TUMBALA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TUXTLA CHICO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TUXTLA GUTIERREZ,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TUZANTAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,TZIMOL,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,UNION JUAREZ,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,VENUSTIANO CARRANZA,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,VILLA COMALTITLAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,VILLA CORZO,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,VILLAFLORES,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,YAJALON,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,ZINACANTAN,SURESTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,AHUMADA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,ALDAMA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,ALLENDE,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,AQUILES SERDAN,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,ASCENSION,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,BACHINIVA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,BALLEZA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,BATOPILAS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,BOCOYNA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,BUENAVENTURA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CAMARGO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CARICHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CASAS GRANDES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CHIHUAHUA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CHINIPAS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CORONADO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,COYAME DEL SOTOL,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CUAUHTEMOC,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,CUSIHUIRIACHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,DELICIAS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,DR. BELISARIO DOMINGUEZ,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,EL TULE,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GALEANA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GOMEZ FARIAS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GRAN MORELOS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GUACHOCHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GUADALUPE,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GUADALUPE Y CALVO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GUAZAPARES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,GUERRERO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,HIDALGO DEL PARRAL,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,HUEJOTITAN,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,IGNACIO ZARAGOZA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,JANOS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,JIMENEZ,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,JUAREZ,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,JULIMES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,LA CRUZ,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,LOPEZ,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MADERA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MAGUARICHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MANUEL BENAVIDES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MATACHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MATAMOROS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MEOQUI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MORELOS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,MORIS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,NAMIQUIPA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,NONOAVA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,NUEVO CASAS GRANDES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,OCAMPO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,OJINAGA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,PRAXEDIS G. GUERRERO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,RIVA PALACIO,NORTE,,,,,,,,,,,,,,,,,,,,,,
